"TEAM","SOS","YEAR"
"Duke",0.6166,2013
"Michigan St.",0.6072,2013
"Louisville",0.6044,2013
"Syracuse",0.6034,2013
"Minnesota",0.5993,2013
"Miami FL",0.5947,2013
"New Mexico",0.5943,2013
"Marquette",0.5924,2013
"North Carolina",0.5921,2013
"Ohio St.",0.5907,2013
"Illinois",0.59,2013
"Indiana",0.5885,2013
"Wisconsin",0.5867,2013
"Michigan",0.5835,2013
"Nebraska",0.5812,2013
"Florida",0.5792,2013
"Kansas",0.5791,2013
"Georgetown",0.5773,2013
"Arizona",0.5759,2013
"Villanova",0.5759,2013
"San Diego St.",0.575,2013
"UNLV",0.5739,2013
"Cincinnati",0.5723,2013
"Colorado",0.5718,2013
"UCLA",0.5714,2013
"South Florida",0.5713,2013
"Oklahoma",0.571,2013
"Butler",0.5701,2013
"Baylor",0.5693,2013
"Fresno St.",0.5689,2013
"Penn St.",0.5686,2013
"Colorado St.",0.5668,2013
"Iowa St.",0.5658,2013
"California",0.5657,2013
"VCU",0.5653,2013
"North Carolina St.",0.5653,2013
"Connecticut",0.5648,2013
"St. John's",0.5639,2013
"Wichita St.",0.5637,2013
"Florida St.",0.5629,2013
"Oklahoma St.",0.5628,2013
"Saint Louis",0.5628,2013
"USC",0.5623,2013
"Kansas St.",0.5617,2013
"Stanford",0.5616,2013
"Northern Iowa",0.561,2013
"Indiana St.",0.5592,2013
"Notre Dame",0.5592,2013
"Boston College",0.5587,2013
"Missouri",0.5584,2013
"Memphis",0.5581,2013
"Washington",0.558,2013
"Temple",0.557,2013
"La Salle",0.5568,2013
"Providence",0.5566,2013
"Northwestern",0.5553,2013
"Purdue",0.5536,2013
"Southern Miss",0.5534,2013
"Boise St.",0.5526,2013
"Creighton",0.5525,2013
"Rutgers",0.5522,2013
"West Virginia",0.5519,2013
"Seton Hall",0.5517,2013
"Gonzaga",0.5517,2013
"Air Force",0.5515,2013
"Pittsburgh",0.5512,2013
"Wyoming",0.5509,2013
"Tennessee",0.5508,2013
"Kentucky",0.5504,2013
"Rhode Island",0.5501,2013
"Nevada",0.5498,2013
"Vanderbilt",0.5489,2013
"Saint Mary's",0.5485,2013
"Xavier",0.5481,2013
"Massachusetts",0.548,2013
"Texas",0.548,2013
"Utah",0.5476,2013
"Texas A&M",0.5468,2013
"Georgia",0.5466,2013
"Missouri St.",0.5462,2013
"Alabama",0.545,2013
"Oregon",0.5448,2013
"BYU",0.5439,2013
"Drake",0.5434,2013
"UTEP",0.5434,2013
"East Carolina",0.5431,2013
"Wake Forest",0.543,2013
"Virginia Tech",0.542,2013
"Maryland",0.5418,2013
"Iowa",0.5414,2013
"Belmont",0.5407,2013
"Richmond",0.5404,2013
"Fordham",0.5391,2013
"George Washington",0.5375,2013
"Evansville",0.5368,2013
"Arkansas",0.5364,2013
"Duquesne",0.534,2013
"Saint Joseph's",0.5338,2013
"Dayton",0.5331,2013
"Detroit",0.5324,2013
"San Diego",0.5319,2013
"Washington St.",0.5311,2013
"Texas Tech",0.5311,2013
"UAB",0.53,2013
"Illinois St.",0.5295,2013
"Charlotte",0.5284,2013
"DePaul",0.5275,2013
"Arizona St.",0.5275,2013
"LSU",0.5259,2013
"Mississippi",0.5258,2013
"Loyola Marymount",0.5257,2013
"Virginia",0.5254,2013
"Tulsa",0.5251,2013
"San Francisco",0.5244,2013
"New Mexico St.",0.5241,2013
"St. Bonaventure",0.5238,2013
"UCF",0.5232,2013
"Oregon St.",0.5231,2013
"Santa Clara",0.523,2013
"Portland",0.5227,2013
"Georgia Tech",0.5223,2013
"Mississippi St.",0.5222,2013
"Clemson",0.5208,2013
"Marshall",0.5195,2013
"Tennessee St.",0.5191,2013
"TCU",0.518,2013
"Auburn",0.5172,2013
"Middle Tennessee",0.5168,2013
"Morehead St.",0.5142,2013
"Akron",0.5138,2013
"Denver",0.5108,2013
"Iona",0.509,2013
"Idaho",0.5079,2013
"George Mason",0.5077,2013
"Pacific",0.5068,2013
"Cleveland St.",0.5043,2013
"FIU",0.5025,2013
"Rice",0.5017,2013
"Harvard",0.5014,2013
"Louisiana Monroe",0.5014,2013
"Long Beach St.",0.5009,2013
"Canisius",0.5005,2013
"Southern Illinois",0.5002,2013
"Ohio",0.4995,2013
"Western Kentucky",0.4991,2013
"Valparaiso",0.4986,2013
"UT Arlington",0.4985,2013
"Kent St.",0.4979,2013
"Manhattan",0.4977,2013
"Niagara",0.4971,2013
"Loyola MD",0.4964,2013
"Florida Gulf Coast",0.4954,2013
"Buffalo",0.4953,2013
"Oakland",0.4953,2013
"Louisiana Lafayette",0.4953,2013
"Miami OH",0.4952,2013
"Pepperdine",0.4948,2013
"Oral Roberts",0.4947,2013
"South Dakota",0.4944,2013
"Bradley",0.4938,2013
"UC Santa Barbara",0.4931,2013
"San Jose St.",0.493,2013
"Eastern Kentucky",0.4929,2013
"Rider",0.4926,2013
"Arkansas Little Rock",0.4912,2013
"Green Bay",0.4911,2013
"South Carolina",0.4904,2013
"Princeton",0.4895,2013
"UC Irvine",0.4892,2013
"UMKC",0.4892,2013
"Utah St.",0.489,2013
"Sacred Heart",0.4886,2013
"South Dakota St.",0.4884,2013
