,TEAM,0
0,Kansas,0
1,Baylor,0
2,Gonzaga,0
3,Dayton,0
4,Michigan St.,2
5,Duke,2
6,Creighton,0
7,Ohio St.,2
8,Louisville,2
9,San Diego St.,0
10,Villanova,0
11,Houston,4
12,Arizona,10
13,Michigan,4
14,Penn St.,4
15,West Virginia,4
16,BYU,5
17,Oregon,2
18,Wisconsin,2
19,Florida St.,0
20,Seton Hall,2
21,Texas Tech,12
22,Butler,2
23,Providence,10
24,Maryland,0
25,Kentucky,2
26,Illinois,4
27,Rutgers,10
28,Iowa,4
29,Florida,10
30,Marquette,10
31,Virginia,2
32,Wichita St.,10
33,Indiana,10
34,Oklahoma,5
35,Utah St.,10
36,Auburn,2
37,Saint Mary's,5
38,Colorado,10
39,LSU,10
40,Stanford,14
41,Cincinnati,10
42,Richmond,10
43,Saint Louis,12
44,Arkansas,14
45,USC,10
46,Arizona St.,10
47,Memphis,12
48,Northern Iowa,10
49,Texas,10
50,Louisiana Tech,14
51,Rhode Island,10
52,Yale,12
53,Tulsa,14
54,East Tennessee St.,10
55,Liberty,13
56,Akron,14
57,New Mexico St.,14
58,Furman,14
59,Vermont,14
60,Loyola Chicago,15
61,Belmont,14
62,Boise St.,14
63,Stephen F. Austin,10
64,Hofstra,14
65,Colorado St.,14
66,Western Kentucky,14
67,Wright St.,14
