,TEAM,0,1
0,Kansas,0.0003856711,0.99961436
1,Baylor,0.00038570195,0.99961424
2,Gonzaga,0.00038570195,0.99961424
3,Dayton,0.0003856979,0.99961424
4,Michigan St.,0.00038671412,0.99961334
5,Duke,0.0003859878,0.99961406
6,Creighton,0.00038589013,0.9996142
7,Ohio St.,0.00039732349,0.99960274
8,Louisville,0.00039634065,0.9996037
9,San Diego St.,0.0003857001,0.99961424
10,Villanova,0.0003857303,0.99961424
11,Houston,0.0005504521,0.99944955
12,Arizona,0.0012804534,0.9987196
13,Michigan,0.00051167083,0.99948835
14,Penn St.,0.0004929355,0.99950707
15,West Virginia,0.00046888535,0.99953115
16,BYU,0.00042145187,0.99957854
17,Oregon,0.00039402413,0.99960595
18,Wisconsin,0.0004109096,0.99958915
19,Florida St.,0.00038576778,0.99961424
20,Seton Hall,0.00038857103,0.99961144
21,Texas Tech,0.00837848,0.9916215
22,Purdue,0.65534145,0.34465852
23,Butler,0.00039079433,0.9996092
24,Providence,0.062352482,0.9376475
25,Maryland,0.0003858638,0.9996142
26,Minnesota,0.57136583,0.42863414
27,Kentucky,0.00038603158,0.99961394
28,Illinois,0.00088453287,0.9991154
29,Rutgers,0.0014724616,0.9985275
30,Iowa,0.00066125515,0.9993387
31,Florida,0.0035747713,0.9964252
32,Marquette,0.0015419862,0.998458
33,Virginia,0.0004504201,0.99954957
34,Wichita St.,0.000802561,0.9991974
35,Indiana,0.0011007655,0.9988992
36,Oklahoma,0.0019562775,0.99804366
37,Utah St.,0.0014367105,0.99856335
38,Auburn,0.0003862171,0.9996138
39,Xavier,0.39376608,0.6062339
40,Saint Mary's,0.00043191668,0.99956805
41,Colorado,0.0036558285,0.99634415
42,LSU,0.32369417,0.6763058
43,Syracuse,0.4357664,0.56423354
44,Stanford,0.16629295,0.8337071
45,North Carolina St.,0.43404543,0.56595457
46,Cincinnati,0.35531345,0.6446866
47,Richmond,0.0010459282,0.99895406
48,Mississippi St.,0.40621042,0.5937896
49,Saint Louis,0.009329863,0.9906701
50,Georgia Tech,0.39024135,0.6097586
51,Arkansas,0.21193197,0.78806806
52,Oklahoma St.,0.38219053,0.6178095
53,Washington,0.6408386,0.35916138
54,Notre Dame,0.4269916,0.57300836
55,Connecticut,0.69648737,0.3035126
56,St. John's,0.61145014,0.38854986
57,USC,0.0012498837,0.9987501
58,Arizona St.,0.0036642654,0.99633574
59,Alabama,0.65395826,0.3460417
60,South Carolina,0.6913139,0.30868602
61,Tennessee,0.49551755,0.5044824
62,Memphis,0.014987038,0.985013
63,Northern Iowa,0.0015430055,0.99845695
64,San Francisco,0.7322244,0.26777557
65,VCU,0.5212051,0.47879487
66,Texas,0.016730445,0.9832696
67,Davidson,0.69807583,0.30192417
68,North Texas,0.68918616,0.3108138
69,UCLA,0.8384304,0.16156965
70,Clemson,0.59421635,0.40578365
71,Louisiana Tech,0.35859495,0.6414051
72,Rhode Island,0.2550485,0.7449515
73,Yale,0.007932198,0.9920678
74,Tulsa,0.31261253,0.6873874
75,East Tennessee St.,0.00045249672,0.9995474
76,Georgetown,0.7054662,0.29453376
77,North Carolina,0.99106956,0.008930405
78,Liberty,0.0015415912,0.9984584
79,Nevada,0.5340478,0.4659522
