"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID"
2013,1,79,"Louisville","North Carolina A&T",48,16,31,0,"Louisville-North Carolina A&T"
2013,2,73,"Duke","Albany",61,15,12,0,"Duke-Albany"
2013,3,65,"Michigan St.","Valparaiso",54,14,11,0,"Michigan St.-Valparaiso"
2013,4,64,"Saint Louis","New Mexico St.",44,13,20,0,"Saint Louis-New Mexico St."
2013,5,55,"Oklahoma St.","Oregon",68,12,-13,0,"Oklahoma St.-Oregon"
2013,6,54,"Memphis","Saint Mary's",52,11,2,0,"Memphis-Saint Mary's"
2013,7,67,"Creighton","Cincinnati",63,10,4,0,"Creighton-Cincinnati"
2013,8,84,"Colorado St.","Missouri",72,9,12,0,"Colorado St.-Missouri"
2013,1,64,"Gonzaga","Southern",58,16,6,0,"Gonzaga-Southern"
2013,2,95,"Ohio St.","Iona",70,15,25,0,"Ohio St.-Iona"
2013,3,62,"New Mexico","Harvard",68,14,-6,0,"New Mexico-Harvard"
2013,4,61,"Kansas St.","La Salle",63,13,-2,0,"Kansas St.-La Salle"
2013,5,46,"Wisconsin","Mississippi",57,12,-11,0,"Wisconsin-Mississippi"
2013,6,81,"Arizona","Belmont",64,11,17,0,"Arizona-Belmont"
2013,7,58,"Notre Dame","Iowa St.",76,10,-18,0,"Notre Dame-Iowa St."
2013,8,55,"Pittsburgh","Wichita St.",73,9,-18,0,"Pittsburgh-Wichita St."
2013,1,64,"Kansas","Western Kentucky",57,16,7,0,"Kansas-Western Kentucky"
2013,2,68,"Georgetown","Florida Gulf Coast",78,15,-10,0,"Georgetown-Florida Gulf Coast"
2013,3,79,"Florida","Northwestern St.",47,14,32,0,"Florida-Northwestern St."
2013,4,71,"Michigan","South Dakota St.",56,13,15,0,"Michigan-South Dakota St."
2013,5,88,"VCU","Akron",42,12,46,0,"VCU-Akron"
2013,6,63,"UCLA","Minnesota",83,11,-20,0,"UCLA-Minnesota"
2013,7,70,"San Diego St.","Oklahoma",55,10,15,0,"San Diego St.-Oklahoma"
2013,8,78,"North Carolina","Villanova",71,9,7,0,"North Carolina-Villanova"
2013,1,83,"Indiana","James Madison",62,16,21,0,"Indiana-James Madison"
2013,2,78,"Miami FL","Pacific",49,15,29,0,"Miami FL-Pacific"
2013,3,59,"Marquette","Davidson",58,14,1,0,"Marquette-Davidson"
2013,4,81,"Syracuse","Montana",34,13,47,0,"Syracuse-Montana"
2013,5,61,"UNLV","California",64,12,-3,0,"UNLV-California"
2013,6,68,"Butler","Bucknell",56,11,12,0,"Butler-Bucknell"
2013,7,57,"Illinois","Colorado",49,10,8,0,"Illinois-Colorado"
2013,8,72,"North Carolina St.","Temple",76,9,-4,0,"North Carolina St.-Temple"
2013,1,82,"Louisville","Colorado St.",56,8,26,0,"Louisville-Colorado St."
2013,2,66,"Duke","Creighton",50,7,16,0,"Duke-Creighton"
2013,3,70,"Michigan St.","Memphis",48,6,22,0,"Michigan St.-Memphis"
2013,4,57,"Saint Louis","Oregon",74,12,-17,0,"Saint Louis-Oregon"
2013,1,70,"Gonzaga","Wichita St.",76,9,-6,0,"Gonzaga-Wichita St."
2013,2,78,"Ohio St.","Iowa St.",75,10,3,0,"Ohio St.-Iowa St."
2013,14,51,"Harvard","Arizona",74,6,-23,1,"Harvard-Arizona"
2013,13,76,"La Salle","Mississippi",74,12,2,1,"La Salle-Mississippi"
2013,1,70,"Kansas","North Carolina",58,8,12,0,"Kansas-North Carolina"
2013,15,81,"Florida Gulf Coast","San Diego St.",71,7,10,1,"Florida Gulf Coast-San Diego St."
2013,3,78,"Florida","Minnesota",64,11,14,0,"Florida-Minnesota"
2013,4,78,"Michigan","VCU",53,5,25,0,"Michigan-VCU"
2013,1,58,"Indiana","Temple",52,9,6,0,"Indiana-Temple"
2013,2,63,"Miami FL","Illinois",59,7,4,0,"Miami FL-Illinois"
2013,3,74,"Marquette","Butler",72,6,2,0,"Marquette-Butler"
2013,4,66,"Syracuse","California",60,12,6,0,"Syracuse-California"
2013,1,77,"Louisville","Oregon",69,12,8,0,"Louisville-Oregon"
2013,2,71,"Duke","Michigan St.",61,3,10,0,"Duke-Michigan St."
2013,9,72,"Wichita St.","La Salle",58,13,14,0,"Wichita St.-La Salle"
2013,2,73,"Ohio St.","Arizona",70,6,3,0,"Ohio St.-Arizona"
2013,1,85,"Kansas","Michigan",87,4,-2,0,"Kansas-Michigan"
2013,15,50,"Florida Gulf Coast","Florida",62,3,-12,1,"Florida Gulf Coast-Florida"
2013,1,50,"Indiana","Syracuse",61,4,-11,0,"Indiana-Syracuse"
2013,2,61,"Miami FL","Marquette",71,3,-10,0,"Miami FL-Marquette"
2013,1,85,"Louisville","Duke",63,2,22,0,"Louisville-Duke"
