"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID","ADJOE_DIFF","ADJDE_DIFF","BARTHAG_DIFF","EFG_O_DIFF","EFG_D_DIFF","TOR_DIFF","TORD_DIFF","ORB_DIFF","DRB_DIFF","FTR_DIFF","FTRD_DIFF","X2P_O_DIFF","X2P_D_DIFF","X3P_O_DIFF","X3P_D_DIFF","ADJ_T_DIFF","WAB_DIFF"
2013,1,79,"Louisville","North Carolina A&T",48,16,31,0,"Louisville-North Carolina A&T",25.3,-11.2,0.628,4.9,-0.4,-4.4,3.6,8.4,0.1,-2.6,-6.2,5.4,0,2.6,-0.2,0.2,20.5
2013,2,73,"Duke","Albany",61,15,12,0,"Duke-Albany",17.2,-7.2,0.378,4.3,-2.8,-5.6,0.5,-2.9,4.1,-0.8,4.9,4.1,-1.4,2.9,-4.1,4.6,12
2013,3,65,"Michigan St.","Valparaiso",54,14,11,0,"Michigan St.-Valparaiso",3.6,-10.1,0.188,-5.1,-1.7,-1,-0.3,4.9,-0.6,-5.1,-4.4,-5.3,-0.2,-3,-3.7,-1.2,7.5
2013,4,64,"Saint Louis","New Mexico St.",44,13,20,0,"Saint Louis-New Mexico St.",5.5,-7.8,0.219,1.1,0.1,-4.3,5,-9,-0.7,-3,4.3,0.2,0.9,2.2,-0.8,-0.4,6.9
2013,5,55,"Oklahoma St.","Oregon",68,12,-13,1,"Oklahoma St.-Oregon",2.3,0,0.025,-0.5,-1.9,-3.2,-0.3,-4.5,3.6,2.1,1.8,0.4,-2.5,-1.7,-1,-1.9,0.3
2013,6,54,"Memphis","Saint Mary's",52,11,2,0,"Memphis-Saint Mary's",-7.8,-4.7,-0.024,-1.3,-1.6,2.4,4.2,-1.3,6.1,0.2,-2,-1.2,-0.2,-0.1,-3.7,4.5,2
2013,7,67,"Creighton","Cincinnati",63,10,4,0,"Creighton-Cincinnati",11.9,6.7,0.039,12,2.6,-0.5,-4.2,-9.9,-2.6,-1.3,-6.6,10.2,3.2,9.8,0.8,-0.3,1.8
2013,8,84,"Colorado St.","Missouri",72,9,12,0,"Colorado St.-Missouri",3.3,3.2,-0.006,-2,2.5,-1.7,-1.1,2.7,-5.4,9.1,6.7,-3,3,0.2,0.9,-2.9,0.7
2013,1,64,"Gonzaga","Southern",58,16,6,0,"Gonzaga-Southern",23,-6.5,0.485,5.8,3,0.4,0.6,11.6,-1.3,0.5,-5,9,1.6,-0.2,2.9,0.1,13.3
2013,2,95,"Ohio St.","Iona",70,15,25,0,"Ohio St.-Iona",0.8,-15.6,0.245,-1.5,-6.2,-0.9,1.4,-1,-5.2,2.8,-2.7,-1,-5.5,-1.1,-5.1,-6,13.1
2013,3,62,"New Mexico","Harvard",68,14,-6,1,"New Mexico-Harvard",2.1,-8.8,0.228,-5.9,-3.3,-3.2,-1.4,3.7,-3.8,-3.9,-5.5,-5.4,-6.9,-4.7,1.3,0.7,9.5
2013,4,61,"Kansas St.","La Salle",63,13,-2,1,"Kansas St.-La Salle",1.4,-1.7,0.038,-2.8,-1.8,1.1,0.9,9.5,-0.4,0.4,8.3,-2.5,-4.1,-1.9,3.1,-3,5.1
2013,5,46,"Wisconsin","Mississippi",57,12,-11,1,"Wisconsin-Mississippi",-2.8,-11.3,0.107,-0.5,-3.4,-0.2,-3.5,-1.5,-4.9,-9.1,-5.4,-1.4,-3.4,0.6,-2.4,-9,3
2013,6,81,"Arizona","Belmont",64,11,17,0,"Arizona-Belmont",5.5,-4,0.117,-4,-1.4,-0.1,-5.2,5.3,-7.5,4.6,-4.1,-6.3,-3.3,-0.1,2.3,-0.6,4.5
2013,7,58,"Notre Dame","Iowa St.",76,10,-18,1,"Notre Dame-Iowa St.",-4.3,-2.9,-0.008,-1.6,-1.2,-0.9,-2.6,-0.2,1,-1,-8.1,-1.3,-2.9,-0.4,1.4,-7.9,3.2
2013,8,55,"Pittsburgh","Wichita St.",73,9,-18,1,"Pittsburgh-Wichita St.",2.2,0.1,0.017,1.7,-0.7,-1.3,2,2.4,3.5,1,-1.9,1.9,0.4,1,-1.8,-4.7,0.9
2013,1,64,"Kansas","Western Kentucky",57,16,7,0,"Kansas-Western Kentucky",11.5,-14.2,0.462,4.7,-6.4,-1.9,-2.4,-1,-1.4,1.9,-5.8,4.6,-8.3,3.7,-2.1,1.7,15.9
2013,2,68,"Georgetown","Florida Gulf Coast",78,15,-10,1,"Georgetown-Florida Gulf Coast",4.2,-11.3,0.243,-0.5,-3.9,-0.9,0.3,-2.1,-1.8,1.6,2.6,-2.1,-5.5,1.9,-0.6,-6.6,10.6
2013,3,79,"Florida","Northwestern St.",47,14,32,0,"Florida-Northwestern St.",10.9,-16.4,0.396,6.2,-4.5,-1.4,0.8,-0.6,-8.9,-9.3,-10.6,4.3,-5,6.8,-2.9,-10.2,7.3
2013,4,71,"Michigan","South Dakota St.",56,13,15,0,"Michigan-South Dakota St.",11.8,-10,0.295,1.3,-3.2,-1.8,1.6,3.6,3.3,-4.6,-1.7,3,-2.2,-1,-3.2,0.8,9.4
2013,5,88,"VCU","Akron",42,12,46,0,"VCU-Akron",10.4,-2.3,0.179,0.3,5.3,-3.9,8.3,-1,4.2,-7.1,5.3,-1.6,7.4,2.4,0.1,1.6,2.3
2013,6,63,"UCLA","Minnesota",83,11,-20,1,"UCLA-Minnesota",-2.6,2.3,-0.057,-0.2,1.9,-5.8,-0.3,-12.9,0.8,-8.5,-12.1,0.1,4.1,-0.4,-1.5,5.5,1.2
