"TEAM","KNN","SVM","ANN","means","Rank","Seed"
"Gonzaga",1,1,1,1,1,1
"Kansas",2,1,1,1.33333333333333,2,1
"Baylor",2,3,1,2,3,1
"Dayton",2,3,1,2,4,1
"San Diego St.",5,2,1,2.66666666666667,5,2
"Florida St.",3,4,1,2.66666666666667,6,2
"Duke",3,3,3,3,7,2
"Creighton",5,3,1,3,8,2
"Villanova",5,3,1,3,9,3
"Ohio St.",2,5,3,3.33333333333333,10,3
"Michigan St.",7,3,3,4.33333333333333,11,3
"Louisville",5,5,3,4.33333333333333,12,3
"Penn St.",3,5,5,4.33333333333333,13,4
"Oregon",5,5,3,4.33333333333333,14,4
"Kentucky",6,4,3,4.33333333333333,15,4
"Virginia",5,5,3,4.33333333333333,16,4
"Houston",2,7,5,4.66666666666667,17,5
"Maryland",10,3,1,4.66666666666667,18,5
"Wisconsin",5,7,3,5,19,5
"Seton Hall",7,5,3,5,20,5
"Butler",5,7,3,5,21,6
"West Virginia",5,6,5,5.33333333333333,22,6
"Arizona",3,5,11,6.33333333333333,23,6
"Michigan",6,8,5,6.33333333333333,24,6
"Illinois",6,8,5,6.33333333333333,25,7
"Auburn",11,6,3,6.66666666666667,26,7
"Iowa",8,8,5,7,27,7
"Oklahoma",10,7,6,7.66666666666667,28,7
"Wichita St.",5,7,11,7.66666666666667,29,8
"BYU",11,7,6,8,30,8
"Saint Mary's",11,7,6,8,31,8
"USC",5,8,11,8,32,8
"LSU",6,8,11,8.33333333333333,33,9
"Cincinnati",7,8,11,8.66666666666667,34,9
"Rutgers",9,8,11,9.33333333333333,35,9
"Marquette",7,10,11,9.33333333333333,36,9
"Richmond",10,7,11,9.33333333333333,37,10
"Providence",7,10,11,9.33333333333333,38,10
"Texas Tech",7,9,13,9.66666666666667,39,10
"Florida",7,11,11,9.66666666666667,40,10
"Colorado",11,8,11,10,41,11
"Indiana",11,11,11,11,42,11
"Utah St.",13,11,11,11.6666666666667,43,11
"Purdue",7,10,16,11,1,11
"Georgia Tech",5,16,16,12.3333333333333,2,11
"Saint Louis",9,16,13,12.6666666666667,3,11
"Northern Iowa",11,16,11,12.6666666666667,4,12
"East Tennessee St.",12,16,11,13,5,12
"Liberty",10,16,14,13.3333333333333,6,12
"Texas",13,16,11,13.3333333333333,7,12
"Washington",9,16,16,13.6666666666667,8,13
"Tennessee",9,16,16,13.6666666666667,9,13
"Arkansas",11,16,15,14,10,13
"Oklahoma St.",10,16,16,14,11,13
"St. John's",10,16,16,14,12,14
"San Francisco",10,16,16,14,13,14
"Northern Colorado",11,16,16,14.3333333333333,14,14
"Arizona St.",16,16,11,14.3333333333333,15,14
"Rhode Island",16,16,11,14.3333333333333,16,15
"Stephen F. Austin",16,16,11,14.3333333333333,17,15
"Davidson",13,16,16,15,18,15
"SMU",13,16,16,15,19,15
"Iowa St.",13,16,16,15,20,16
"Memphis",16,16,13,15,21,16
"Yale",16,16,13,15,22,16
"South Carolina",14,16,16,15.3333333333333,23,16
"VCU",15,16,16,15.6666666666667,24,16
"Louisiana Tech",16,16,15,15.6666666666667,25,16
