"ID","DIFF","TEAM","NA"
"Syracuse-Iowa St.","5.7","Syracuse","First Four"
"Purdue-Texas","9.6","Purdue","First Four"
"Kansas-Notre Dame","9.5","Kansas","East - Round of 64"
"San Diego St.-Connecticut","4","San Diego St.","East - Round of 64"
"Duke-Liberty","11.8","Duke","East - Round of 64"
"Penn St.-Rhode Island","7.8","Penn St.","East - Round of 64"
"Ohio St.-Washington","5.2","Ohio St.","East - Round of 64"
"Seton Hall-Indiana","4","Seton Hall","East - Round of 64"
"Wisconsin-Utah St.","3.1","Wisconsin","East - Round of 64"
"BYU-USC","9.3","BYU","East - Round of 64"
"Kansas-BYU","4.3","Kansas","East - Round of 32"
"San Diego St.-Wisconsin","3.4","San Diego St.","East - Round of 32"
"Duke-Seton Hall","5.9","Duke","East - Round of 32"
"Penn St.-Ohio St.","-0.9","Ohio St.","East - Round of 32"
"Kansas-Ohio St.","3.1","Kansas","East - Sweet 16"
"San Diego St.-Duke","-1.7","Duke","East - Sweet 16"
"Kansas-Duke","1.9","Kansas","East - Elite 8"
"Dayton-Davidson","8.6","Dayton","West - Round of 64"
"Villanova-Northern Colorado","6.4","Villanova","West - Round of 64"
"Louisville-Oklahoma St.","6.2","Louisville","West - Round of 64"
"Virginia-Saint Louis","-0.1","Saint Louis","West - Round of 64"
"West Virginia-Xavier","5","West Virginia","West - Round of 64"
"Arizona-Wichita St.","7","Arizona","West - Round of 64"
"Oklahoma-Marquette","-0.7","Marquette","West - Round of 64"
"Cincinnati-LSU","0.4","Cincinnati","West - Round of 64"
"Dayton-Cincinnati","9.1","Dayton","West - Round of 32"
"Villanova-Marquette","1.9","Villanova","West - Round of 32"
"Louisville-Arizona","-0.3","Arizona","West - Round of 32"
"Saint Louis-West Virginia","-3.3","West Virginia","West - Round of 32"
"Dayton-West Virginia","5.5","Dayton","West - Sweet 16"
"Villanova-Arizona","-3","Arizona","West - Sweet 16"
"Dayton-Arizona","3.4","Dayton","West - Elite 8"
"Baylor-Stephen F. Austin","14.3","Baylor","Midwest - Round of 64"
"Creighton-Akron","11.6","Creighton","Midwest - Round of 64"
"Michigan St.-Arkansas","5.5","Michigan St.","Midwest - Round of 64"
"Kentucky-Yale","5.6","Kentucky","Midwest - Round of 64"
"Butler-Northern Iowa","5.6","Butler","Midwest - Round of 64"
"Houston-Memphis","8.1","Houston","Midwest - Round of 64"
"Iowa-Texas Tech","-3.2","Texas Tech","Midwest - Round of 64"
"Saint Mary's-Providence","-3.4","Providence","Midwest - Round of 64"
"Baylor-Providence","5","Baylor","Midwest - Round of 32"
"Creighton-Texas Tech","1.6","Creighton","Midwest - Round of 32"
"Michigan St.-Houston","2.5","Michigan St.","Midwest - Round of 32"
"Kentucky-Butler","0.2","Kentucky","Midwest - Round of 32"
"Baylor-Kentucky","9.1","Baylor","Midwest - Sweet 16"
"Creighton-Michigan St.","2.4","Creighton","Midwest - Sweet 16"
"Baylor-Creighton","2.9","Baylor","Midwest - Elite 8"
"Gonzaga-Alabama","8.7","Gonzaga","South - Round of 64"
"Florida St.-St. John's","2.1","Florida St.","South - Round of 64"
"Maryland-Tennessee","0.9","Maryland","South - Round of 64"
"Oregon-East Tennessee St.","9.5","Oregon","South - Round of 64"
"Auburn-Arizona St.","1.1","Auburn","South - Round of 64"
"Michigan-Florida","1.6","Michigan","South - Round of 64"
"Illinois-Richmond","2.4","Illinois","South - Round of 64"
"Rutgers-Colorado","2.4","Rutgers","South - Round of 64"
"Gonzaga-Rutgers","8","Gonzaga","South - Round of 32"
"Florida St.-Illinois","2.9","Florida St.","South - Round of 32"
"Maryland-Michigan","-2.8","Michigan","South - Round of 32"
"Oregon-Auburn","6.9","Oregon","South - Round of 32"
"Gonzaga-Oregon","5.7","Gonzaga","South - Sweet 16"
"Florida St.-Michigan","0","Florida St.","South - Sweet 16"
"Gonzaga-Florida St.","7.5","Gonzaga","South - Elite 8"
"Kansas-Dayton","0.6","Kansas","Final Four (East vs. West)"
"Gonzaga-Baylor","1.6","Gonzaga","Final Four (South vs. Midwest)"
"Kansas-Gonzaga","0.4","Kansas","Championship Game"
