"ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","SOS","WR"
121,89.7,0.9692,54.7,44,19.3,20.9,39,31.4,45.8,27,52,43.2,40.3,30.4,67.8,7.8,0.5885,0.805555555555556
118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55,42.1,36.5,32.9,65.1,7.6,0.5517,0.911764705882353
111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32,52.9,39.3,36.4,30.3,67.7,7.5,0.5791,0.837837837837838
115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,0.6044,0.875
107.6,85,0.9381,51.1,43,20.1,22.4,30.4,31,36.8,35.3,50.2,41.4,35.3,30.7,62.5,6.6,0.5773,0.78125
112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44,36.2,32.6,63,6.3,0.5947,0.805555555555556
113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,0.5907,0.783783783783784
118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,0.6166,0.833333333333333
111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,0.6072,0.742857142857143
113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,0.5924,0.742857142857143
107,91.1,0.8641,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42,35.1,34.6,65.4,6.9,0.5943,0.828571428571429
115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,0.5792,0.783783783783784
113.4,94.5,0.8896,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63,5.4,0.5617,0.764705882352941
108,87.5,0.9181,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,64.7,3.8,0.5628,0.8
121.5,93.7,0.9522,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,0.5835,0.789473684210526
113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,0.6034,0.75
107.2,84.3,0.9406,48.6,43,15.7,18,32.6,26.9,29.7,25.7,48,42.8,33,28.9,61.9,4.6,0.5867,0.657142857142857
107.1,88.6,0.8983,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,3.2,0.5628,0.727272727272727
104.7,88.4,0.8749,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,1.8,0.5739,0.705882352941177
113.8,92.1,0.9195,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,68.1,2.6,0.5653,0.75
110,94.8,0.8475,49.1,47.5,15.8,19.9,30.7,34,33.1,24.6,48.9,46.9,33.3,32.4,69.6,3.3,0.5714,0.714285714285714
109.2,93,0.8624,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,0.5701,0.742857142857143
114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,0.5759,0.771428571428571
106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,69.3,4.5,0.5581,0.861111111111111
106,89.5,0.8752,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,0.4,0.575,0.65625
109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,66.1,2.4,0.59,0.617647058823529
112.9,95.4,0.8748,52.2,46.8,17.6,16,34,29.5,32,24.6,50.6,45.9,37,32.5,61.7,3.9,0.5592,0.714285714285714
116.4,95,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,0.5525,0.777777777777778
112.8,91.1,0.9217,51.7,44.6,18.1,22,40.4,30,37.5,36.4,51.5,44,34.9,30.4,60.3,3.1,0.5512,0.727272727272727
116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,0.5668,0.727272727272727
111.6,93,0.8902,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,71.4,2.5,0.5921,0.685714285714286
115.2,98,0.865,54.2,46.8,18,16.6,34.7,32.6,40.9,29,52.8,47.5,39.1,30.2,68.1,2.2,0.5653,0.685714285714286
105.3,90.5,0.8507,47.3,47.3,22.9,22,33.1,29.5,50.6,40.9,46,42.4,33.2,37.3,67.7,0.3,0.5759,0.575757575757576
113.3,95.2,0.8815,51.2,46.1,18.9,17.6,38.7,28.6,35,29.7,51.4,44.1,33.9,33.2,67.7,1.2,0.5584,0.676470588235294
110.7,96.9,0.822,49,49,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,66.8,1.5,0.557,0.705882352941177
110.6,91,0.9045,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,0.5637,0.769230769230769
110.3,95.6,0.8391,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,47.6,46.4,32.3,32.9,66.7,0.3,0.571,0.625
104.9,90.2,0.8513,48.3,45.9,20,19.4,33.6,30.4,40.9,25.3,47,44.7,34.4,32,65.5,1.4,0.5718,0.636363636363636
104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,0.5723,0.647058823529412
117.2,98.3,0.8828,53.8,48,18.5,18.6,34.2,28.5,33,32.7,51.9,48.8,37.4,31.1,69.6,0.7,0.5658,0.657142857142857
112.6,92.5,0.905,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2.1,0.5993,0.617647058823529
108.9,96.2,0.8064,56.5,48,19.6,25,29.7,34.2,32.8,37,56.9,46.7,37.2,33.5,67.4,0.1,0.5407,0.774193548387097
104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1,0.4877,0.818181818181818
113.9,94.9,0.891,53.7,47.1,18.3,17.9,36.9,25,37,36.9,52.3,44,37.3,36.7,64.8,2.5,0.5485,0.794117647058823
105.1,91,0.8396,51.1,44.4,20.7,23.6,36.5,29,41.4,42.8,49.2,43.9,37.7,30.3,64.9,0.7,0.5168,0.823529411764706
105.4,92.3,0.8211,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,0.5657,0.636363636363636
103.4,94.4,0.7402,51,44.6,20.8,20.2,37.6,30.5,36.9,35,52.1,42.7,32.7,32.8,66.5,0.3,0.5138,0.78125
110,95.6,0.834,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,1.6,0.5258,0.75
104.8,88.6,0.8728,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,0.5448,0.756756756756757
112,97.4,0.8332,51.8,51.4,18.4,20,30.3,24.4,33.7,42.2,48.4,51,38.7,34.8,66.2,-0.2,0.5526,0.633333333333333
109.7,103.7,0.6573,53.3,51.2,16.4,17.1,28.9,26.1,33,24.4,50.4,49.8,38.9,35.8,64,-3.2,0.4884,0.6875
101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52,48,36.4,33.3,63.9,-1.4,0.4738,0.766666666666667
102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,0.5241,0.676470588235294
112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,0.5568,0.705882352941177
104.8,102.1,0.573,49,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50,46.8,31,33.9,73,-3.2,0.487,0.678571428571429
104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,-2.6,0.5014,0.655172413793103
110.6,98.3,0.7959,53.1,45.3,17,18.8,29,28.5,38.9,36.4,52,44.3,36.6,32.1,65.2,-1.4,0.4859,0.757575757575758
107.8,97.9,0.7514,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,65.6,-0.8,0.4986,0.757575757575758
104.7,101.1,0.5991,50.5,50,17.8,20,29.2,30.8,37.7,39.3,46.8,48,38.9,35.4,63.4,-5.1,0.5068,0.606060606060606
112.8,105,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,0.509,0.588235294117647
103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4,0.4954,0.685714285714286
101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40,27.8,46.7,47.6,37,33.1,63.2,-4.5,0.4597,0.685714285714286
100.1,100.4,0.4895,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66,-8.4,0.4991,0.542857142857143
90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32,66.9,-11.5,0.4403,0.527777777777778
95.9,96.7,0.475,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46,40.5,36.7,30,65,-5.7,0.4137,0.666666666666667
108.1,111.2,0.4195,54.4,52.6,20.3,18.4,35.2,33.5,45.6,31.6,53.1,51.1,38,37.2,69.3,-8.6,0.4547,0.588235294117647
98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,0.4681,0.583333333333333
100.1,109.7,0.2591,48.5,47.8,19.8,15.1,29,32.6,38.4,38.5,44.9,48.6,37,30.9,65.7,-15.6,0.4403,0.363636363636364
116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,9.4,0.6025,0.868421052631579
115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,0.5948,0.923076923076923
114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42,32.5,49,42.1,36.9,32.3,61.2,8.2,0.5766,0.810810810810811
116.4,93,0.9295,52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,52.3,43.6,35,31.1,65.1,8.1,0.5328,0.971428571428571
119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34,35.5,68.2,6.9,0.6244,0.714285714285714
125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,0.5948,0.756756756756757
115.2,92.5,0.926,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,53.8,43,35.6,35.3,67.6,8.3,0.5652,0.852941176470588
122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,0.6079,0.789473684210526
125.2,101.9,0.9144,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,65.4,5.6,0.5699,0.771428571428571
125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,0.5884,0.742857142857143
118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46,35.8,34.1,71.6,7.5,0.584,0.777777777777778
114.2,92.8,0.9156,48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,47.7,45.5,33.1,34.5,61.5,7.9,0.5571,0.823529411764706
118.8,87.6,0.971,53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,0.5587,0.837837837837838
119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,0.5926,0.763157894736842
109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64,6,0.5531,0.852941176470588
119,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53,48.6,38,34.4,70.2,4.5,0.5858,0.756756756756757
108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36,46.6,43.2,33.5,32,63.5,5.3,0.5568,0.794117647058823
118.2,99.4,0.8793,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,4.1,0.5762,0.696969696969697
104.9,90.4,0.8477,49.6,44.4,18.6,21,28.8,29,40.3,35.6,50.5,44.4,31.7,29.6,67.5,3.8,0.5538,0.787878787878788
108.3,89.8,0.8955,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,3.6,0.5718,0.742857142857143
119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,48.3,46.4,38,35.6,62.9,3.1,0.5904,0.666666666666667
109,96.9,0.7952,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,3.6,0.5629,0.727272727272727
113.4,94.7,0.8883,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,70.8,4.2,0.5793,0.705882352941177
108.4,88.5,0.9107,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,4.5,0.5787,0.714285714285714
112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,0.5942,0.8
112.8,95.7,0.8693,51.1,45,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,4.4,0.5622,0.794117647058823
118.1,100,0.872,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,51,49.4,38.9,32.4,69.3,2.6,0.5782,0.705882352941177
112.4,96.7,0.8507,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,46.9,42.9,32.7,35.2,68.7,3.6,0.5633,0.685714285714286
106.9,96,0.774,48.3,49.4,19.7,17.8,34,26.1,48.3,30.2,48.6,47.3,31.8,35.6,66.9,2.4,0.5738,0.657142857142857
113.6,93.3,0.9064,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39,31.8,66.5,4,0.5488,0.8
117.2,96.2,0.9062,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,3.9,0.6161,0.725
112.6,97,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33,31,69.5,2.8,0.5737,0.696969696969697
